MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:45:700,-16.55,-3.67,41.2,0.09,0.38
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:45:800,29.57,8.0,-69.02,0.12,0.4
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:45:900,-1.38,-0.34,3.63,0.09,0.36

CC:7B:5C:AF:BD:F4,2025:02:27 14:07:51:400,0.03,0.52,-2.02,0.25,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:51:500,0.07,1.5,-5.78,0.25,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:51:600,0.11,2.2,-8.27,0.26,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:51:700,0.09,1.64,-6.14,0.26,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:51:800,0.06,1.98,-7.31,0.26,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:51:900,0.05,0.94,-3.42,0.27,0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:000,0.02,0.77,-2.83,0.27,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:100,-0.02,4.07,-14.68,0.27,-0.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:200,-0.15,4.23,-16.1,0.26,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:300,0.34,5.02,-18.72,0.26,0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:400,8.6,17.29,-69.93,0.24,0.12
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:500,-221.66,2.14,379.51,-0.01,0.53
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:600,-1171.02,117.99,1793.01,-0.07,0.58
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:700,13.09,8.07,-30.21,0.26,0.4
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:800,1598.82,-275.55,742.06,0.36,-1.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:52:900,-968.54,-255.15,-199.06,2.23,1.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:53:000,89.77,-77.12,233.24,0.32,-0.35
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:53:100,0.06,-2.91,7.5,0.37,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:53:200,-30.22,-75.48,180.35,0.4,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:53:300,2.56,11.25,-25.79,0.41,0.09

CC:7B:5C:AF:BD:F4,2025:02:27 14:07:57:800,-4.02,7.76,-32.34,0.24,-0.12
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:57:900,-2.3,6.26,-25.52,0.24,-0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:000,0.05,-0.2,0.75,0.26,-0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:100,1.2,-5.84,21.48,0.27,-0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:200,-0.34,1.95,-6.86,0.28,-0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:300,-0.05,0.38,-1.29,0.29,-0.04
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:400,-0.08,0.56,-1.98,0.28,-0.04
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:500,-0.48,4.05,-14.72,0.27,-0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:600,-0.09,10.81,-43.57,0.24,-0.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:700,10.45,15.03,-96.47,0.15,0.11
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:800,-575.32,64.03,761.07,-0.08,0.65
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:58:900,-1197.49,44.65,1714.38,-0.03,0.61
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:000,-82.43,66.75,-139.0,0.45,-0.49
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:100,97.2,-71.96,97.07,0.64,-0.68
CC:7B:5C:AF:BD:F4,2025:02:27 14:07:59:200,-483.06,552.56,253.69,2.0,-0.67
