MAC,Timestamp,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z,Roll,Pitch

CC:7B:5C:AF:BD:F4,2025:02:27 14:18:43:700,0.26,-0.54,-4.59,-0.12,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:43:800,0.12,-0.26,-2.3,-0.11,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:43:900,0.47,-0.88,-7.77,-0.11,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:000,0.46,-0.77,-7.08,-0.11,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:100,0.74,-1.59,-12.96,-0.12,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:200,0.26,-0.63,-5.51,-0.11,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:300,0.97,-1.93,-16.97,-0.11,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:400,0.7,-1.37,-12.55,-0.11,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:500,0.3,-0.58,-5.21,-0.11,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:600,-1.73,0.85,12.93,-0.07,0.13
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:700,-961.79,-137.4,884.0,0.15,0.82
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:800,-374.69,350.5,664.49,-0.49,0.46
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:44:900,-173.94,188.2,58.1,1.87,-0.72
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:000,39.38,-52.13,48.89,0.82,-0.5
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:100,-71.43,-211.76,146.02,0.97,0.27
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:200,-10.0,-122.13,77.33,1.01,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:300,-1.37,-83.5,42.18,1.1,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:400,0.23,-31.12,14.19,1.14,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:500,-0.01,0.58,-0.26,1.15,-0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:600,0.03,-10.32,5.6,1.07,-0.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:45:700,-0.16,-7.24,3.42,1.13,0.02

CC:7B:5C:AF:BD:F4,2025:02:27 14:18:50:700,0.47,2.43,-10.31,0.23,0.04
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:50:800,0.32,1.61,-6.93,0.23,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:50:900,-0.18,-0.74,3.19,0.23,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:000,0.13,0.66,-2.75,0.23,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:100,0.71,3.18,-13.3,0.23,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:200,0.1,0.47,-1.91,0.24,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:300,0.25,1.4,-5.97,0.23,0.04
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:400,0.37,1.88,-7.92,0.23,0.05
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:500,0.56,2.2,-8.71,0.25,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:600,-83.37,-95.92,208.32,0.43,0.35
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:700,-1812.03,296.05,1711.2,-0.17,0.81
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:800,-96.74,20.44,-568.19,0.04,-0.17
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:51:900,1462.31,-692.22,-30.28,1.61,-1.13
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:000,20.17,314.56,-76.84,1.33,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:100,0.74,-57.95,16.42,1.29,-0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:200,-20.31,-177.8,118.12,0.98,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:300,-4.07,-66.7,21.95,1.25,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:400,-0.33,-26.19,9.51,1.22,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:500,0.15,17.39,-5.93,1.24,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:18:52:600,0.38,20.89,-7.08,1.24,0.02

CC:7B:5C:AF:BD:F4,2025:02:27 14:19:08:600,-2.98,7.03,44.45,-0.16,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:08:700,6.88,-16.05,-82.16,-0.19,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:08:800,1.01,-2.32,-16.71,-0.14,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:08:900,0.61,-0.98,-8.16,-0.12,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:000,0.7,-1.15,-9.04,-0.13,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:100,0.69,-1.03,-7.45,-0.14,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:200,-0.05,0.08,0.56,-0.14,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:300,0.35,-0.45,-3.42,-0.13,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:400,-2.85,2.92,23.15,-0.13,0.12
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:500,-198.31,67.43,523.55,-0.13,0.36
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:600,-652.22,384.17,514.13,-0.64,0.79
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:700,-225.13,-80.34,-292.59,2.87,0.64
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:800,1434.21,-2305.13,355.99,1.42,-0.55
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:09:900,-509.32,-421.99,535.07,0.67,0.64
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:10:000,-2.77,-15.85,-0.68,1.61,0.17
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:10:100,-14.34,-173.38,137.61,0.9,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:10:200,0.58,-33.88,10.11,1.28,-0.02
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:10:300,-0.0,3.05,-0.87,1.29,-0.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:10:400,-0.26,-8.27,2.94,1.23,0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:10:500,0.1,3.09,-1.1,1.23,0.03

CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:300,2.38,3.03,-29.71,0.1,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:400,1.76,2.56,-25.82,0.1,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:500,-1.09,-1.6,14.64,0.11,0.07
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:600,0.2,0.24,-2.22,0.11,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:700,0.88,1.3,-11.08,0.12,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:800,0.89,1.17,-10.75,0.11,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:15:900,0.17,0.25,-2.18,0.12,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:000,1.07,1.66,-13.62,0.12,0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:100,0.79,1.07,-8.79,0.12,0.09
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:200,-3.42,-2.88,22.77,0.13,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:300,-320.25,-116.49,507.7,0.23,0.55
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:400,-989.69,265.08,958.74,-0.27,0.78
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:500,494.84,139.11,31.86,1.8,1.29
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:600,937.65,-947.36,22.86,1.55,-0.78
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:700,19.95,202.44,-256.46,0.67,0.06
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:800,45.92,-115.35,-29.06,1.82,-0.37
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:16:900,17.92,-163.5,151.8,0.82,-0.08
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:17:000,0.0,-11.5,2.11,1.39,0.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:17:100,-0.24,-37.87,16.46,1.16,0.01
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:17:200,0.12,7.24,-2.67,1.22,0.02

CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:100,-2.51,1.0,9.82,-0.1,0.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:200,2.22,-1.02,-8.85,-0.11,0.24
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:300,-1.08,0.54,4.67,-0.12,0.22
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:400,1.98,-0.69,-7.82,-0.09,0.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:500,3.56,-1.16,-13.47,-0.09,0.26
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:600,-2.9,0.98,10.81,-0.09,0.26
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:700,1.53,-0.53,-5.88,-0.09,0.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:800,3.34,-1.25,-12.92,-0.1,0.25
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:23:900,1.06,-0.38,-3.97,-0.1,0.26
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:000,0.11,-0.04,-0.39,-0.11,0.28
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:100,-133.05,43.73,183.72,-0.23,0.61
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:200,-816.59,131.42,505.51,-0.25,1.0
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:300,-235.24,-53.36,262.57,0.2,0.72
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:400,174.1,-240.28,335.21,0.62,-0.4
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:500,198.85,-17.14,3.49,1.37,-1.48
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:600,1.6,4.94,-8.43,0.53,0.16
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:700,-46.48,-165.29,109.01,0.99,0.23
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:800,-8.85,-53.38,23.38,1.16,0.15
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:24:900,-4.8,-43.96,18.37,1.17,0.1
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:25:000,-3.71,-43.93,17.37,1.19,0.08

CC:7B:5C:AF:BD:F4,2025:02:27 14:19:29:100,-0.13,-0.94,-4.61,-0.2,-0.03
CC:7B:5C:AF:BD:F4,2025:02:27 14:19:29:200,-0.08,-0.55,-2.72,-0.2,-0.03
